CTG,1576150.23
AKL,386.72
JED,571.26
ALG,21471.43
PEK,2611.72
PEK,1876.76
IAS,1325.24
LHR,120.45
JNB,6726.53
GOB,13574.21
CTG,1637183.10
LHR,215.37
JNB,1882.37
HFA,609.38
SCL,158015.94
JED,1254.97
HFA,858.94
CUN,3861.29
MAA,25028.05
TOR,198.53
LHR,184.47
ABV,109005.00
WAW,1719.23
PEK,1403.59
ABV,71085.00
ALG,29710.00
GMP,227650.00
JED,1091.56
MEL,415.55
IAS,891.03
IAS,1713.59
WAW,1214.86
DUB,254.44
JED,596.77
SCL,225426.29
CUN,5186.34
DUB,316.52
SCL,235760.96
ABV,138930.00
CRK,19863.44
AEP,33347.17
PEK,834.49
LHR,300.51
MEL,311.77
CRK,9304.84
PRG,8007.27
JED,1027.09
MAA,26635.31
LXR,6814.55
PRG,6733.76
CRK,14654.30
LXR,3144.85
AEP,34483.02
ALG,45995.71
JED,975.38
CRK,11549.46
IAS,907.16
CUN,4538.14
AKL,367.68
SGN,9906750.00
DEB,70352.52
LXR,3444.85
TOR,409.17
CMB,49094.82
PEK,2095.19
MEL,506.05
DUB,99.13
TOR,222.49
HFA,1210.03
GOB,19972.11
AEP,57369.81
PEK,2620.53
CUN,2346.49
IAS,1548.48
LHR,149.39
GMP,151462.50
CRK,16039.78
CRK,13245.70
ALG,18900.00
CMB,125552.96
CRK,15417.20
NRT,36615.79
CMB,86462.52
LHR,306.83
GOB,6230.00
PEK,1102.71
GMP,359937.50
SPY,164300.00
ALG,43137.14
PRG,4329.66
WAW,467.74
GRU,1921.59
CTG,1421220.66
JED,795.27
SPY,95090.00
TOR,421.72
GRU,1400.05
ALG,44410.00
JNB,6793.89
MAA,13754.95
PEK,1310.16
SOF,261.86
JED,849.42
SGN,4072500.00
JED,1436.59
AKL,312.21
NRT,19826.32
CMB,41229.29
SCL,256382.47
ABV,185025.00
WAW,653.23
SCL,249346.61
TOR,138.02
WAW,1141.26
TOR,364.31
PRG,8726.05
DEB,87543.17
LXR,5194.85
MAA,16915.84
AEP,65828.30
JNB,6031.94
IAS,1217.44
AKL,613.88
SOF,586.92
LHR,231.23
DEB,101514.39
SOF,263.76
MEL,223.76
PEK,1955.89
SGN,3796500.00
MAA,31931.52
DUB,95.06
SCL,177784.86
MEL,443.91
GOB,17080.00
AKL,290.16
SGN,7450750.00
SPY,186555.00
ABV,181205.00
CMB,112219.87
PEK,1164.84
SGN,6127500.00
HFA,840.14
CUN,2394.69
SGN,8186250.00
LXR,9690.91
CTG,1156384.98
AEP,65483.02
IAS,1295.79
SPY,184415.00
CMB,79038.62
IAS,891.80
SOF,438.30
GRU,1923.29
CRK,6796.24
SCL,235657.37
NRT,45830.26
SGN,8187250.00
GOB,20138.42
SGN,3472000.00
PEK,2080.76
WAW,1373.69
CRK,17861.29
PRG,2221.76
CMB,39886.12
JNB,2617.63
JED,1472.50
GMP,225037.50
ABV,194795.00
GRU,757.60
SGN,5142750.00
CRK,15223.12
MEL,364.85
TOR,513.10
AKL,614.77
HFA,726.37
JED,1073.28
LHR,256.33
CRK,14922.04
JNB,4385.69
PRG,6792.56
JED,1144.24
NRT,45557.89
LXR,3439.39
TOR,350.06
CTG,1555915.49
PRG,5057.92
IAS,1314.14
SOF,474.68
PRG,2214.49
DEB,127395.68
GRU,1329.06
LHR,246.35
LHR,129.64
CRK,18276.88
IAS,1517.94
PRG,2472.58
