GOB,9731.58
TOR,253.39
PEK,1588.55
GRU,877.59
CRK,17643.55
HFA,672.02
CTG,1043192.49
CTG,1618262.91
GRU,1211.28
LXR,9771.52
HFA,672.88
TOR,166.44
WAW,1196.42
MAA,26800.33
LHR,120.59
AEP,37701.89
PRG,2342.22
IAS,939.28
CRK,11120.97
LHR,207.93
LHR,121.79
PEK,2376.02
CUN,7248.01
IAS,770.73
NRT,41536.84
DEB,92820.14
SPY,191975
JED,644.02
ALG,31981.43
JED,971.67
DEB,72046.76
JED,683.41
TOR,293.53
SGN,9106750
SCL,207386.45
SPY,113115
CTG,934319.25
SPY,150835
DUB,200.23
DEB,111039.57
DUB,133.88
MEL,473.4
PRG,5346.84
DUB,307.81
JED,1382.14
IAS,1583.1
GOB,11172.63
IAS,1721.39
JNB,4241.36
TOR,413.99
GOB,17491.05
JNB,4652.18
GRU,1273.78
ALG,27054.29
NRT,36553.95
PEK,1744.31
LXR,11639.7
SOF,373.99
IAS,588.49
MEL,392.49
AEP,48490.57
SCL,89370.52
IAS,806.48
SGN,2544000
HFA,488.87
MEL,222.56
AEP,57177.36
HFA,366.64
CUN,3733.21
JNB,4490.05
ABV,194380
SCL,218637.45
LHR,229.49
WAW,1476.92
CUN,4907.02
NRT,20772.37
PEK,1595.05
JNB,3672.77
CTG,1457183.1
XLS,350.95
SGN,4284750
ALG,41025.71
GRU,1257.34
AEP,54043.4
DUB,323.18
LXR,11760.91
SOF,295.81
MAA,30325.08
DUB,198.92
SGN,5373000
SPY,185955
NRT,28775
WAW,1103.02
SCL,208055.78
MEL,569.24
JED,446.68
CTG,983849.77
SGN,8923500
CUN,6807.78
CTG,1557605.63
GMP,159537.5
TOR,161.24
NRT,38746.05
SGN,6733250
HFA,828.77
MAA,19281.35
CMB,145207.68
PEK,1627.24
IAS,1800.59
JNB,2739.79
LXR,7630.91
PRG,7923.36
GRU,1345.8
IAS,1152.51
CMB,55124.46
MEL,267.63
TOR,448.67
PRG,4323.5
ABV,132795
MEL,336.73
CMB,49259.07
SOF,303.62
PEK,700.54
HFA,1284.86
MEL,572.24
ALG,52820
LHR,222.75
SCL,191577.69
ALG,25577.14
PEK,1250.54
DUB,358.49
SGN,7768750
DEB,46028.78
AKL,455.69
JED,982.29
PRG,5422.37
SOF,202.49
MEL,225.12
IAS,1738.79
AKL,341.92
MAA,31109.74
CMB,110070.08
MEL,194.43
SPY,177265
ALG,41438.57
CUN,6444.97
CMB,98631.29
SOF,445.46
DUB,298.78
CUN,2200.19
PEK,1069.92
CRK,19059.68
PEK,1951.49
PEK,2386.11
CMB,123884.96
CMB,52281.19
CRK,17789.78
PEK,1461.04
TOR,528.62
SOF,421.4
GRU,852.24
TOR,163.63
NRT,37001.32
TOR,206.96
CTG,720938.97
MAA,14785.48
PRG,6968.73
LHR,250.33
GMP,200325
WAW,584.09
IAS,845.67
PRG,6560.67
JED,668.29
CMB,71643.92
JED,1123.53
ABV,167700
JED,1369.12
ALG,33738.57
TOR,363.25
MEL,562.97
IAS,1424.06
SOF,476.13
CTG,1762957.75
SPY,64160
ABV,143560
WAW,1626.09
SOF,380.36
PEK,1812.87
AEP,62983.02
HFA,552.95
CUN,4952.37
CTG,1442723
TOR,418.29
ALG,47022.86
SPY,168640
IAS,860.26
GRU,1324.27
SOF,373.57
LHR,88.94
PEK,1930.49
LHR,264.82
MAA,8514.85
JED,810.51
HFA,650.58
IAS,567.2
JED,893.13
SCL,200055.78
CRP,694.02
MEL,439.54
PEK,1927.3
SCL,195952.19
CUN,7422.39
SGN,6261750
SCL,229561.75
MEL,528.18
JNB,6490.05
CMB,66198.26
IAS,1516.4
JNB,5900.7
ABV,63350
CTG,1455352.11
LHR,129.4
PEK,725.61
GMP,481387.5
SOF,554.16
CRK,7285.48
GRU,1495.26
MAA,11929.87
JED,1346.49
AEP,42724.53
TOR,495.03
PEK,1108.06
WAW,754.33
MEL,174.86
WAW,989.25
HFA,669.55
WAW,1113.42
CTG,1328215.96
AKL,372.74
SGN,8999750
SOF,720.76
DUB,106.49
NRT,41778.95
LHR,89.26
ABV,63955
MAA,32961.22
CMB,108526.17
SGN,2734250
MEL,194.08
AKL,178.98
JED,1456.36
NRT,46140.79
PEK,1090.72
ALG,52741.43
SOF,416.07
AEP,72735.85
GRU,809.33
ABV,125400
LHR,99.94
